PreExperiment.started,PreExperiment.stopped,date,expName,psychopyVersion,OS,frameRate,id,PracInstruc.started,PracInstruc.stopped,PracInstruct2.started,PracInstruct2.stopped,fixation.started,fixation.stopped,fixDuration,trial.started,trial.stopped,resp.keys,resp.corr,resp.rt,resp.duration,feedback.started,feedback.stopped,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,pos_loc,corrAns,targOrientation,MainInstruc.started,MainInstruc.stopped,instResp.keys,instResp.rt,instResp.duration,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,Rest.started,Rest.stopped,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran
,,2026-01-20_12h25.58.775,ant_ver113,2025.2.3,MacIntel,58.82352941,129131,,,,,1149.474,1150.723,1.25,1150.724,1154.723,left,0,0.439,,,,,,,,,stim/centre.png,stim/incongRight.png,-1,right,0,,,,,,0,23,23,25,1,,,,,,,
,,2026-01-20_12h25.58.775,ant_ver113,2025.2.3,MacIntel,58.82352941,129131,,,,,1154.724,1155.273,0.55,1155.274,1159.273,left,1,0.524,,,,,,,,,stim/blank.png,stim/neutralLeft.png,-1,left,0,,,,,,0,24,24,32,1,,,,,,,
,,2026-01-20_12h25.58.775,ant_ver113,2025.2.3,MacIntel,58.82352941,129131,,,,,1159.274,1160.423,1.15,1160.424,1164.425,right,1,0.434,,,,,,,,,stim/centre.png,stim/congRight.png,1,right,0,,,,,,0,25,25,2,1,,,,,,,
,,2026-01-20_12h25.58.775,ant_ver113,2025.2.3,MacIntel,58.82352941,129131,,,,,1164.425,1165.223,0.8,1165.224,1169.224,left,1,0.601,,,,,,,,,stim/both.png,stim/incongLeft.png,-1,left,0,,,,,,0,26,26,37,1,,,,,,,
,,2026-01-20_12h25.58.775,ant_ver113,2025.2.3,MacIntel,58.82352941,129131,,,,,1169.224,1170.224,1,1170.224,1174.224,right,1,0.469,,,,,,,,,stim/centre.png,stim/congRight.png,-1,right,0,,,,,,0,27,27,0,1,,,,,,,
,,2026-01-20_12h25.58.775,ant_ver113,2025.2.3,MacIntel,58.82352941,129131,,,,,1174.224,1175.124,0.9,1175.125,1179.124,left,1,0.387,,,,,,,,,stim/upper.png,stim/neutralLeft.png,1,left,0,,,,,,0,28,28,8,1,,,,,,,
,,2026-01-20_12h25.58.775,ant_ver113,2025.2.3,MacIntel,58.82352941,129131,,,,,1179.125,1179.874,0.75,1179.874,1183.874,right,1,0.504,,,,,,,,,stim/centre.png,stim/incongRight.png,1,right,0,,,,,,0,29,29,26,1,,,,,,,
,,2026-01-20_12h25.58.775,ant_ver113,2025.2.3,MacIntel,58.82352941,129131,,,,,1183.875,1185.024,1.15,1185.025,1189.023,right,1,0.517,,,,,,,,,stim/lower.png,stim/incongRight.png,-1,right,0,,,,,,0,30,30,19,1,,,,,,,
,,2026-01-20_12h25.58.775,ant_ver113,2025.2.3,MacIntel,58.82352941,129131,,,,,1189.024,1190.324,1.3,1190.325,1194.324,right,1,0.603,,,,,,,,,stim/both.png,stim/incongRight.png,-1,right,0,,,,,,0,31,31,3,1,,,,,,,
,,2026-01-20_12h25.58.775,ant_ver113,2025.2.3,MacIntel,58.82352941,129131,,,,,1194.325,1195.524,1.2,1195.525,1199.524,left,1,0.435,,,,,,,,,stim/both.png,stim/neutralLeft.png,1,left,0,,,,,,0,32,32,31,1,,,,,,,
,,2026-01-20_12h25.58.775,ant_ver113,2025.2.3,MacIntel,58.82352941,129131,,,,,1199.525,1199.974,0.45,1199.975,1203.975,left,1,0.391,,,,,,,,,stim/centre.png,stim/congLeft.png,1,left,0,,,,,,0,33,33,4,1,,,,,,,
,,2026-01-20_12h25.58.775,ant_ver113,2025.2.3,MacIntel,58.82352941,129131,,,,,1203.975,1205.374,1.4,1205.375,1209.375,left,1,0.734,,,,,,,,,stim/blank.png,stim/incongLeft.png,-1,left,0,,,,,,0,34,34,16,1,,,,,,,
,,2026-01-20_12h25.58.775,ant_ver113,2025.2.3,MacIntel,58.82352941,129131,,,,,1209.375,1210.775,1.4,1210.775,1214.775,left,1,0.406,,,,,,,,,stim/both.png,stim/congLeft.png,1,left,0,,,,,,0,35,35,34,1,,,,,,,
,,2026-01-20_12h25.58.775,ant_ver113,2025.2.3,MacIntel,58.82352941,129131,,,,,1214.775,1215.174,0.4,1215.174,1219.175,left,1,0.507,,,,,,,,,stim/blank.png,stim/congLeft.png,1,left,0,,,,,,0,36,36,6,1,,,,,,,
,,2026-01-20_12h25.58.775,ant_ver113,2025.2.3,MacIntel,58.82352941,129131,,,,,1219.175,1219.625,0.45,1219.626,1223.625,right,1,0.535,,,,,,,,,stim/both.png,stim/incongRight.png,1,right,0,,,,,,0,37,37,44,1,,,,,,,
,,2026-01-20_12h25.58.775,ant_ver113,2025.2.3,MacIntel,58.82352941,129131,,,,,1223.626,1224.274,0.65,1224.275,1228.275,right,1,0.501,,,,,,,,,stim/blank.png,stim/congRight.png,-1,right,0,,,,,,0,38,38,18,1,,,,,,,
,,2026-01-20_12h25.58.775,ant_ver113,2025.2.3,MacIntel,58.82352941,129131,,,,,1228.276,1229.025,0.75,1229.026,1233.025,left,1,0.434,,,,,,,,,stim/centre.png,stim/neutralLeft.png,-1,left,0,,,,,,0,39,39,14,1,,,,,,,
,,2026-01-20_12h25.58.775,ant_ver113,2025.2.3,MacIntel,58.82352941,129131,,,,,1233.026,1233.525,0.5,1233.526,1237.525,right,1,0.419,,,,,,,,,stim/lower.png,stim/neutralRight.png,-1,right,0,,,,,,0,40,40,28,1,,,,,,,
,,2026-01-20_12h25.58.775,ant_ver113,2025.2.3,MacIntel,58.82352941,129131,,,,,1237.526,1238.825,1.3,1238.826,1242.825,left,1,0.37,,,,,,,,,stim/both.png,stim/congLeft.png,-1,left,0,,,,,,0,41,41,5,1,,,,,,,
,,2026-01-20_12h25.58.775,ant_ver113,2025.2.3,MacIntel,58.82352941,129131,,,,,1242.826,1244.025,1.2,1244.025,1248.026,left,1,0.519,,,,,,,,,stim/blank.png,stim/congLeft.png,-1,left,0,,,,,,0,42,42,15,1,,,,,,,
,,2026-01-20_12h25.58.775,ant_ver113,2025.2.3,MacIntel,58.82352941,129131,,,,,1248.026,1249.375,1.35,1249.376,1253.376,left,1,0.338,,,,,,,,,stim/lower.png,stim/congLeft.png,-1,left,0,,,,,,0,43,43,12,1,,,,,,,
,,2026-01-20_12h25.58.775,ant_ver113,2025.2.3,MacIntel,58.82352941,129131,,,,,1253.377,1254.776,1.4,1254.776,1258.776,right,1,0.404,,,,,,,,,stim/both.png,stim/neutralRight.png,-1,right,0,,,,,,0,44,44,41,1,,,,,,,
