location,PreExperiment.started,PreExperiment.stopped,date,expName,psychopyVersion,OS,frameRate,id,participant,PracInstruc.started,PracInstruc.stopped,PracInstruct2.started,PracInstruct2.stopped,fixation.started,fixation.stopped,fixDuration,trial.started,trial.stopped,resp.keys,resp.corr,feedback.started,feedback.stopped,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,pos_loc,corrAns,targOrientation,MainInstruc.started,MainInstruc.stopped,instResp.keys,instResp.rt,instResp.duration,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,Rest.started,Rest.stopped,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran,resp.rt,resp.duration,End.started,End.stopped
1,,,2026-02-13_14h34.03.234,ant_ver113,2025.2.3,MacIntel,58.82352941,127079,127079,,,,,388.764,389.362,0.6,389.362,393.361,,0,,,,,,,,stim/blank.png,stim/congLeft.png,1,left,0,,,,,,0,38,38,6,1,,,,,,,,,,,
1,,,2026-02-13_14h34.03.234,ant_ver113,2025.2.3,MacIntel,58.82352941,127079,127079,,,,,393.361,393.96,0.6,393.961,397.958,,0,,,,,,,,stim/upper.png,stim/neutralRight.png,1,right,0,,,,,,0,39,39,27,1,,,,,,,,,,,
1,,,2026-02-13_14h34.03.234,ant_ver113,2025.2.3,MacIntel,58.82352941,127079,127079,,,,,397.958,399.056,1.1,399.056,403.054,,0,,,,,,,,stim/both.png,stim/congRight.png,-1,right,0,,,,,,0,40,40,13,1,,,,,,,,,,,
1,,,2026-02-13_14h34.03.234,ant_ver113,2025.2.3,MacIntel,58.82352941,127079,127079,,,,,403.054,403.703,0.65,403.704,407.7,,0,,,,,,,,stim/upper.png,stim/congRight.png,1,right,0,,,,,,0,41,41,30,1,,,,,,,,,,,
1,,,2026-02-13_14h34.03.234,ant_ver113,2025.2.3,MacIntel,58.82352941,127079,127079,,,,,407.701,408.401,0.7,408.401,412.397,,0,,,,,,,,stim/blank.png,stim/congRight.png,1,right,0,,,,,,0,42,42,45,1,,,,,,,,,,,
1,,,2026-02-13_14h34.03.234,ant_ver113,2025.2.3,MacIntel,58.82352941,127079,127079,,,,,412.398,412.798,0.4,412.798,416.795,,0,,,,,,,,stim/both.png,stim/incongRight.png,1,right,0,,,,,,0,43,43,44,1,,,,,,,,,,,
1,,,2026-02-13_14h34.03.234,ant_ver113,2025.2.3,MacIntel,58.82352941,127079,127079,,,,,416.795,418.094,1.3,418.094,422.091,,0,,,,,,,,stim/centre.png,stim/congRight.png,1,right,0,,,,,,0,44,44,2,1,,,,,,,,,,,
1,,,2026-02-13_14h34.03.234,ant_ver113,2025.2.3,MacIntel,58.82352941,127079,127079,,,,,422.092,422.791,0.7,422.791,426.788,,0,,,,,,,,stim/lower.png,stim/neutralLeft.png,-1,left,0,,,,,,0,45,45,38,1,,,,,,,,,,,
1,,,2026-02-13_14h34.03.234,ant_ver113,2025.2.3,MacIntel,58.82352941,127079,127079,,,,,426.788,427.987,1.2,427.987,431.984,,0,,,,,,,,stim/lower.png,stim/incongRight.png,-1,right,0,,,,,,0,46,46,19,1,,,,,,,,,,,
1,,,2026-02-13_14h34.03.234,ant_ver113,2025.2.3,MacIntel,58.82352941,127079,127079,,,,,431.984,433.034,1.05,433.034,437.031,,0,,,,,,,,stim/centre.png,stim/incongLeft.png,-1,left,0,,,,,,0,47,47,21,1,,,,,,,,,,,
