location,PreExperiment.started,PreExperiment.stopped,date,expName,psychopyVersion,OS,frameRate,id,participant,PracInstruc.started,PracInstruc.stopped,PracInstruct2.started,PracInstruct2.stopped,fixation.started,fixation.stopped,fixDuration,trial.started,trial.stopped,resp.keys,resp.corr,resp.rt,resp.duration,feedback.started,feedback.stopped,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,pos_loc,corrAns,targOrientation,MainInstruc.started,MainInstruc.stopped,instResp.keys,instResp.rt,instResp.duration,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran
1,,,2026-03-13_14h53.12.892,ant_ver113,2025.2.3,MacIntel,52.63157895,130530,130530,,,,,276.831,277.38,0.55,277.381,281.382,right,1,0.453,,,,,,,,,stim/both.png,stim/neutralRight.png,1,right,0,,,,,,0,10,10,23,1
1,,,2026-03-13_14h53.12.892,ant_ver113,2025.2.3,MacIntel,52.63157895,130530,130530,,,,,281.383,282.383,1,282.383,286.384,right,1,0.493,,,,,,,,,stim/blank.png,stim/neutralRight.png,-1,right,0,,,,,,0,11,11,36,1
1,,,2026-03-13_14h53.12.892,ant_ver113,2025.2.3,MacIntel,52.63157895,130530,130530,,,,,286.385,287.735,1.35,287.735,291.736,left,1,0.533,,,,,,,,,stim/centre.png,stim/congLeft.png,-1,left,0,,,,,,0,12,12,9,1
1,,,2026-03-13_14h53.12.892,ant_ver113,2025.2.3,MacIntel,52.63157895,130530,130530,,,,,291.737,292.737,1,292.737,296.738,left,1,0.417,,,,,,,,,stim/centre.png,stim/neutralLeft.png,-1,left,0,,,,,,0,13,13,14,1
1,,,2026-03-13_14h53.12.892,ant_ver113,2025.2.3,MacIntel,52.63157895,130530,130530,,,,,296.738,297.538,0.8,297.539,301.541,right,1,0.467,,,,,,,,,stim/centre.png,stim/congRight.png,1,right,0,,,,,,0,14,14,2,1
1,,,2026-03-13_14h53.12.892,ant_ver113,2025.2.3,MacIntel,52.63157895,130530,130530,,,,,301.541,302.14,0.6,302.14,306.142,right,1,0.458,,,,,,,,,stim/blank.png,stim/incongRight.png,-1,right,0,,,,,,0,15,15,7,1
1,,,2026-03-13_14h53.12.892,ant_ver113,2025.2.3,MacIntel,52.63157895,130530,130530,,,,,306.142,306.892,0.75,306.892,310.893,left,1,0.493,,,,,,,,,stim/both.png,stim/incongLeft.png,-1,left,0,,,,,,0,16,16,37,1
1,,,2026-03-13_14h53.12.892,ant_ver113,2025.2.3,MacIntel,52.63157895,130530,130530,,,,,310.894,311.744,0.85,311.744,315.745,right,1,0.494,,,,,,,,,stim/both.png,stim/incongRight.png,-1,right,0,,,,,,0,17,17,3,1
1,,,2026-03-13_14h53.12.892,ant_ver113,2025.2.3,MacIntel,52.63157895,130530,130530,,,,,315.746,317.096,1.35,317.096,321.097,right,1,0.483,,,,,,,,,stim/both.png,stim/congRight.png,1,right,0,,,,,,0,18,18,47,1
1,,,2026-03-13_14h53.12.892,ant_ver113,2025.2.3,MacIntel,52.63157895,130530,130530,,,,,321.098,322.148,1.05,322.148,326.149,left,1,0.551,,,,,,,,,stim/upper.png,stim/incongLeft.png,1,left,0,,,,,,0,19,19,33,1
