location,PreExperiment.started,PreExperiment.stopped,date,expName,psychopyVersion,OS,frameRate,id,participant,PracInstruc.started,PracInstruc.stopped,PracInstruct2.started,PracInstruct2.stopped,fixation.started,fixation.stopped,fixDuration,trial.started,trial.stopped,resp.keys,resp.corr,feedback.started,feedback.stopped,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,pos_loc,corrAns,targOrientation,MainInstruc.started,MainInstruc.stopped,instResp.keys,instResp.rt,instResp.duration,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,Rest.started,Rest.stopped,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran,resp.rt,resp.duration,blockLoop.order,mainLoop.order
3,,,2026-02-11_13h20.23.475,ant_ver113,2025.2.3,Win32,59.52380952,5995,5995,,,,,409.1891,410.4887,1.3,410.4905,414.4869,,0,,,,,,,,stim/centre.png,stim/neutralRight.png,-1,right,0,,,,,,0,33,33,35,1,,,,,,,,,,,
3,,,2026-02-11_13h20.23.475,ant_ver113,2025.2.3,Win32,59.52380952,5995,5995,,,,,414.4884,415.6356,1.15,415.6365,419.6344,,0,,,,,,,,stim/centre.png,stim/neutralLeft.png,1,left,0,,,,,,0,34,34,22,1,,,,,,,,,,,
3,,,2026-02-11_13h20.23.475,ant_ver113,2025.2.3,Win32,59.52380952,5995,5995,,,,,419.6349,420.0345,0.4,420.0356,424.0334,,0,,,,,,,,stim/upper.png,stim/incongRight.png,1,right,0,,,,,,0,35,35,11,1,,,,,,,,,,,
3,,,2026-02-11_13h20.23.475,ant_ver113,2025.2.3,Win32,59.52380952,5995,5995,,,,,424.0349,424.7333,0.7,424.7347,428.7318,,0,,,,,,,,stim/centre.png,stim/congRight.png,-1,right,0,,,,,,0,36,36,0,1,,,,,,,,,,,
3,,,2026-02-11_13h20.23.475,ant_ver113,2025.2.3,Win32,59.52380952,5995,5995,,,,,428.7326,429.8803,1.15,429.8815,433.8792,,0,,,,,,,,stim/blank.png,stim/congLeft.png,1,left,0,,,,,,0,37,37,6,1,,,,,,,,,,,
3,,,2026-02-11_13h20.23.475,ant_ver113,2025.2.3,Win32,59.52380952,5995,5995,,,,,433.8805,434.7298,0.85,434.7309,438.727,,0,,,,,,,,stim/centre.png,stim/congRight.png,1,right,0,,,,,,0,38,38,2,1,,,,,,,,,,,
3,,,2026-02-11_13h20.23.475,ant_ver113,2025.2.3,Win32,59.52380952,5995,5995,,,,,438.7277,439.4775,0.75,439.4787,443.4754,,0,,,,,,,,stim/centre.png,stim/incongRight.png,-1,right,0,,,,,,0,39,39,25,1,,,,,,,,,,,
3,,,2026-02-11_13h20.23.475,ant_ver113,2025.2.3,Win32,59.52380952,5995,5995,,,,,443.4761,444.7756,1.3,444.7772,448.7733,,0,,,,,,,,stim/upper.png,stim/neutralLeft.png,1,left,0,,,,,,0,40,40,8,1,,,,,,,,,,,
3,,,2026-02-11_13h20.23.475,ant_ver113,2025.2.3,Win32,59.52380952,5995,5995,,,,,448.7742,450.0732,1.3,450.0741,454.0713,,0,,,,,,,,stim/centre.png,stim/neutralLeft.png,-1,left,0,,,,,,0,41,41,14,1,,,,,,,,,,,
3,,,2026-02-11_13h20.23.475,ant_ver113,2025.2.3,Win32,59.52380952,5995,5995,,,,,454.0719,454.7716,0.7,454.7736,458.77,,0,,,,,,,,stim/lower.png,stim/incongRight.png,-1,right,0,,,,,,0,42,42,19,1,,,,,,,,,,,
