location,PreExperiment.started,PreExperiment.stopped,date,expName,psychopyVersion,OS,frameRate,id,participant,PracInstruc.started,PracInstruc.stopped,PracInstruct2.started,PracInstruct2.stopped,fixation.started,fixation.stopped,fixDuration,trial.started,trial.stopped,resp.keys,resp.corr,feedback.started,feedback.stopped,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,pos_loc,corrAns,targOrientation,MainInstruc.started,MainInstruc.stopped,instResp.keys,instResp.rt,instResp.duration,resp.rt,resp.duration,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,Rest.started,Rest.stopped,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran,End.started,End.stopped
1,,,2026-02-11_14h52.17.254,ant_ver113,2025.2.3,MacIntel,59.88023952,130044,130044,,,,,441.4699,442.2194,0.75,442.2202,446.2195,right,1,,,,,,,,stim/blank.png,stim/neutralRight.png,1,right,0,,,,,,0.7694,,0,38,38,39,1,,,,,,,,,
1,,,2026-02-11_14h52.17.254,ant_ver113,2025.2.3,MacIntel,59.88023952,130044,130044,,,,,446.2201,446.7695,0.55,446.7704,450.7698,right,1,,,,,,,,stim/upper.png,stim/incongRight.png,1,right,0,,,,,,0.9486,,0,39,39,11,1,,,,,,,,,
1,,,2026-02-11_14h52.17.254,ant_ver113,2025.2.3,MacIntel,59.88023952,130044,130044,,,,,450.7702,451.3198,0.55,451.3205,455.3198,left,1,,,,,,,,stim/both.png,stim/neutralLeft.png,1,left,0,,,,,,0.8709,,0,40,40,31,1,,,,,,,,,
1,,,2026-02-11_14h52.17.254,ant_ver113,2025.2.3,MacIntel,59.88023952,130044,130044,,,,,455.3204,456.2198,0.9,456.2206,460.22,left,1,,,,,,,,stim/centre.png,stim/neutralLeft.png,1,left,0,,,,,,0.7848,,0,41,41,22,1,,,,,,,,,
1,,,2026-02-11_14h52.17.254,ant_ver113,2025.2.3,MacIntel,59.88023952,130044,130044,,,,,460.2207,461.6697,1.45,461.6704,465.6701,right,1,,,,,,,,stim/both.png,stim/congRight.png,1,right,0,,,,,,0.7011,,0,42,42,47,1,,,,,,,,,
1,,,2026-02-11_14h52.17.254,ant_ver113,2025.2.3,MacIntel,59.88023952,130044,130044,,,,,465.6707,467.17,1.5,467.1709,471.1703,left,1,,,,,,,,stim/blank.png,stim/incongLeft.png,1,left,0,,,,,,1.3318,,0,43,43,20,1,,,,,,,,,
1,,,2026-02-11_14h52.17.254,ant_ver113,2025.2.3,MacIntel,59.88023952,130044,130044,,,,,471.1708,472.0202,0.85,472.021,476.0204,right,1,,,,,,,,stim/both.png,stim/neutralRight.png,-1,right,0,,,,,,0.766,,0,44,44,41,1,,,,,,,,,
1,,,2026-02-11_14h52.17.254,ant_ver113,2025.2.3,MacIntel,59.88023952,130044,130044,,,,,476.021,477.1204,1.1,477.1213,481.1205,,0,,,,,,,,stim/centre.png,stim/incongRight.png,1,right,0,,,,,,,,0,45,45,26,1,,,,,,,,,
1,,,2026-02-11_14h52.17.254,ant_ver113,2025.2.3,MacIntel,59.88023952,130044,130044,,,,,481.1211,481.9206,0.8,481.9213,485.9208,right,1,,,,,,,,stim/upper.png,stim/congRight.png,1,right,0,,,,,,0.7172,,0,46,46,30,1,,,,,,,,,
1,,,2026-02-11_14h52.17.254,ant_ver113,2025.2.3,MacIntel,59.88023952,130044,130044,,,,,485.9213,487.3209,1.4,487.3216,491.3209,,0,,,,,,,,stim/centre.png,stim/neutralLeft.png,-1,left,0,,,,,,,,0,47,47,14,1,,,,,,,,,
