PreExperiment.started,PreExperiment.stopped,date,expName,psychopyVersion,OS,frameRate,id,PracInstruc.started,PracInstruc.stopped,PracInstruct2.started,PracInstruct2.stopped,fixation.started,fixation.stopped,fixDuration,trial.started,trial.stopped,resp.keys,resp.corr,resp.rt,resp.duration,feedback.started,feedback.stopped,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,pos_loc,corrAns,targOrientation,MainInstruc.started,MainInstruc.stopped,instResp.keys,instResp.rt,instResp.duration,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,Rest.started,Rest.stopped,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran,End.started,End.stopped
,,2026-01-20_13h46.43.819,ant_ver113,2025.2.3,Win32,58.82352941,126309,,,,,1321.7131,1322.7012,1,1322.7027,1326.6999,left,1,0.5673,,,,,,,,,stim/both.png,stim/congLeft.png,-1,left,0,,,,,,0,21,21,5,1,,,,,,,,,
,,2026-01-20_13h46.43.819,ant_ver113,2025.2.3,Win32,58.82352941,126309,,,,,1326.7008,1327.8119,1.1,1327.8136,1331.8008,right,1,0.4505,,,,,,,,,stim/lower.png,stim/neutralRight.png,-1,right,0,,,,,,0,22,22,28,1,,,,,,,,,
,,2026-01-20_13h46.43.819,ant_ver113,2025.2.3,Win32,58.82352941,126309,,,,,1331.802,1332.2506,0.45,1332.2519,1336.2505,right,1,0.4556,,,,,,,,,stim/both.png,stim/neutralRight.png,1,right,0,,,,,,0,23,23,23,1,,,,,,,,,
,,2026-01-20_13h46.43.819,ant_ver113,2025.2.3,Win32,58.82352941,126309,,,,,1336.2513,1337.6002,1.35,1337.6016,1341.6013,left,1,0.5683,,,,,,,,,stim/centre.png,stim/incongLeft.png,1,left,0,,,,,,0,24,24,46,1,,,,,,,,,
,,2026-01-20_13h46.43.819,ant_ver113,2025.2.3,Win32,58.82352941,126309,,,,,1341.6018,1342.0007,0.4,1342.0023,1346.0006,right,1,0.5304,,,,,,,,,stim/both.png,stim/incongRight.png,1,right,0,,,,,,0,25,25,44,1,,,,,,,,,
,,2026-01-20_13h46.43.819,ant_ver113,2025.2.3,Win32,58.82352941,126309,,,,,1346.0013,1346.6505,0.65,1346.6517,1350.6501,right,1,0.5551,,,,,,,,,stim/blank.png,stim/incongRight.png,1,right,0,,,,,,0,26,26,40,1,,,,,,,,,
,,2026-01-20_13h46.43.819,ant_ver113,2025.2.3,Win32,58.82352941,126309,,,,,1350.6509,1351.0508,0.4,1351.0519,1355.0497,left,1,0.5536,,,,,,,,,stim/centre.png,stim/incongLeft.png,-1,left,0,,,,,,0,27,27,21,1,,,,,,,,,
,,2026-01-20_13h46.43.819,ant_ver113,2025.2.3,Win32,58.82352941,126309,,,,,1355.0504,1356.6008,1.55,1356.6014,1360.6013,right,0,1.0693,,,,,,,,,stim/upper.png,stim/incongLeft.png,1,left,0,,,,,,0,28,28,33,1,,,,,,,,,
,,2026-01-20_13h46.43.819,ant_ver113,2025.2.3,Win32,58.82352941,126309,,,,,1360.602,1361.4499,0.85,1361.4518,1365.4492,left,1,1.0362,,,,,,,,,stim/lower.png,stim/congLeft.png,-1,left,0,,,,,,0,29,29,12,1,,,,,,,,,
,,2026-01-20_13h46.43.819,ant_ver113,2025.2.3,Win32,58.82352941,126309,,,,,1365.45,1366.6026,1.15,1366.6035,1370.6008,right,1,0.6313,,,,,,,,,stim/lower.png,stim/incongRight.png,-1,right,0,,,,,,0,30,30,19,1,,,,,,,,,
,,2026-01-20_13h46.43.819,ant_ver113,2025.2.3,Win32,58.82352941,126309,,,,,1370.6014,1371.0997,0.5,1371.1011,1375.0998,left,1,0.5668,,,,,,,,,stim/lower.png,stim/neutralLeft.png,-1,left,0,,,,,,0,31,31,38,1,,,,,,,,,
,,2026-01-20_13h46.43.819,ant_ver113,2025.2.3,Win32,58.82352941,126309,,,,,1375.1006,1375.802,0.7,1375.803,1379.8009,right,1,0.4892,,,,,,,,,stim/blank.png,stim/neutralRight.png,1,right,0,,,,,,0,32,32,39,1,,,,,,,,,
,,2026-01-20_13h46.43.819,ant_ver113,2025.2.3,Win32,58.82352941,126309,,,,,1379.8019,1380.6996,0.9,1380.7006,1384.6919,left,1,0.7666,,,,,,,,,stim/both.png,stim/neutralLeft.png,-1,left,0,,,,,,0,33,33,17,1,,,,,,,,,
,,2026-01-20_13h46.43.819,ant_ver113,2025.2.3,Win32,58.82352941,126309,,,,,1384.6927,1386.0388,1.35,1386.0396,1390.0334,right,1,0.5155,,,,,,,,,stim/upper.png,stim/incongRight.png,1,right,0,,,,,,0,34,34,11,1,,,,,,,,,
,,2026-01-20_13h46.43.819,ant_ver113,2025.2.3,Win32,58.82352941,126309,,,,,1390.0342,1390.7329,0.7,1390.734,1394.7329,right,1,0.7825,,,,,,,,,stim/both.png,stim/incongRight.png,-1,right,0,,,,,,0,35,35,3,1,,,,,,,,,
,,2026-01-20_13h46.43.819,ant_ver113,2025.2.3,Win32,58.82352941,126309,,,,,1394.7337,1395.9828,1.25,1395.9837,1399.9838,right,1,0.4248,,,,,,,,,stim/both.png,stim/neutralRight.png,-1,right,0,,,,,,0,36,36,41,1,,,,,,,,,
