location,PreExperiment.started,PreExperiment.stopped,date,expName,psychopyVersion,OS,frameRate,id,participant,PracInstruc.started,PracInstruc.stopped,PracInstruct2.started,PracInstruct2.stopped,fixation.started,fixation.stopped,fixDuration,trial.started,trial.stopped,resp.keys,resp.corr,resp.rt,resp.duration,feedback.started,feedback.stopped,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,pos_loc,corrAns,targOrientation,MainInstruc.started,MainInstruc.stopped,instResp.keys,instResp.rt,instResp.duration,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,Rest.started,Rest.stopped,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran,blockLoop.order,mainLoop.order
1,,,2026-02-27_14h43.31.074,ant_ver113,2025.2.3,MacIntel,45.45454545,129614,129614,,,,,496.369,497.768,1.4,497.769,501.768,right,1,0.514,,,,,,,,,stim/both.png,stim/incongRight.png,1,right,0,,,,,,0,20,20,44,1,,,,,,,,,
1,,,2026-02-27_14h43.31.074,ant_ver113,2025.2.3,MacIntel,45.45454545,129614,129614,,,,,501.768,502.768,1,502.769,506.767,right,1,0.498,,,,,,,,,stim/centre.png,stim/congRight.png,-1,right,0,,,,,,0,21,21,0,1,,,,,,,,,
1,,,2026-02-27_14h43.31.074,ant_ver113,2025.2.3,MacIntel,45.45454545,129614,129614,,,,,506.768,507.417,0.65,507.417,511.417,right,1,0.399,,,,,,,,,stim/lower.png,stim/neutralRight.png,-1,right,0,,,,,,0,22,22,28,1,,,,,,,,,
1,,,2026-02-27_14h43.31.074,ant_ver113,2025.2.3,MacIntel,45.45454545,129614,129614,,,,,511.418,512.667,1.25,512.667,516.667,right,1,0.48,,,,,,,,,stim/centre.png,stim/incongRight.png,-1,right,0,,,,,,0,23,23,25,1,,,,,,,,,
1,,,2026-02-27_14h43.31.074,ant_ver113,2025.2.3,MacIntel,45.45454545,129614,129614,,,,,516.667,517.816,1.15,517.817,521.816,left,1,0.398,,,,,,,,,stim/upper.png,stim/neutralLeft.png,1,left,0,,,,,,0,24,24,8,1,,,,,,,,,
1,,,2026-02-27_14h43.31.074,ant_ver113,2025.2.3,MacIntel,45.45454545,129614,129614,,,,,521.817,522.666,0.85,522.667,526.666,left,1,0.565,,,,,,,,,stim/upper.png,stim/incongLeft.png,1,left,0,,,,,,0,25,25,33,1,,,,,,,,,
1,,,2026-02-27_14h43.31.074,ant_ver113,2025.2.3,MacIntel,45.45454545,129614,129614,,,,,526.666,527.166,0.5,527.167,531.166,left,1,0.415,,,,,,,,,stim/centre.png,stim/congLeft.png,1,left,0,,,,,,0,26,26,4,1,,,,,,,,,
1,,,2026-02-27_14h43.31.074,ant_ver113,2025.2.3,MacIntel,45.45454545,129614,129614,,,,,531.166,532.715,1.55,532.716,536.715,right,1,0.515,,,,,,,,,stim/centre.png,stim/congRight.png,1,right,0,,,,,,0,27,27,2,1,,,,,,,,,
1,,,2026-02-27_14h43.31.074,ant_ver113,2025.2.3,MacIntel,45.45454545,129614,129614,,,,,536.716,538.065,1.35,538.066,542.065,right,1,0.697,,,,,,,,,stim/blank.png,stim/incongRight.png,1,right,0,,,,,,0,28,28,40,1,,,,,,,,,
1,,,2026-02-27_14h43.31.074,ant_ver113,2025.2.3,MacIntel,45.45454545,129614,129614,,,,,542.065,542.564,0.5,542.565,546.564,left,1,0.431,,,,,,,,,stim/upper.png,stim/congLeft.png,1,left,0,,,,,,0,29,29,24,1,,,,,,,,,
1,,,2026-02-27_14h43.31.074,ant_ver113,2025.2.3,MacIntel,45.45454545,129614,129614,,,,,546.564,547.814,1.25,547.814,551.814,right,1,0.43,,,,,,,,,stim/both.png,stim/neutralRight.png,1,right,0,,,,,,0,30,30,23,1,,,,,,,,,
1,,,2026-02-27_14h43.31.074,ant_ver113,2025.2.3,MacIntel,45.45454545,129614,129614,,,,,551.814,552.222,0.4,552.223,556.213,right,1,0.546,,,,,,,,,stim/blank.png,stim/congRight.png,-1,right,0,,,,,,0,31,31,18,1,,,,,,,,,
1,,,2026-02-27_14h43.31.074,ant_ver113,2025.2.3,MacIntel,45.45454545,129614,129614,,,,,556.214,557.563,1.35,557.564,561.563,right,1,0.467,,,,,,,,,stim/both.png,stim/congRight.png,1,right,0,,,,,,0,32,32,47,1,,,,,,,,,
