PreExperiment.started,PreExperiment.stopped,date,expName,psychopyVersion,OS,frameRate,id,PracInstruc.started,PracInstruc.stopped,PracInstruct2.started,PracInstruct2.stopped,fixation.started,fixation.stopped,fixDuration,trial.started,trial.stopped,resp.keys,resp.corr,feedback.started,feedback.stopped,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,pos_loc,corrAns,targOrientation,resp.rt,resp.duration,MainInstruc.started,MainInstruc.stopped,instResp.keys,instResp.rt,instResp.duration,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,Rest.started,Rest.stopped,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran,End.started,End.stopped
,,2026-01-20_10h40.01.595,ant_ver113,2025.2.3,MacIntel,59.88023952,118852,,,,,321.5969,322.5458,0.95,322.546,326.5451,right,1,,,,,,,,stim/blank.png,stim/incongRight.png,-1,right,0,0.7828,,,,,,,0,24,24,7,1,,,,,,,,,
,,2026-01-20_10h40.01.595,ant_ver113,2025.2.3,MacIntel,59.88023952,118852,,,,,326.5456,327.846,1.3,327.8467,331.846,right,1,,,,,,,,stim/blank.png,stim/congRight.png,-1,right,0,0.5022,,,,,,,0,25,25,18,1,,,,,,,,,
,,2026-01-20_10h40.01.595,ant_ver113,2025.2.3,MacIntel,59.88023952,118852,,,,,331.8466,332.895,1.05,332.8957,336.8961,left,1,,,,,,,,stim/both.png,stim/neutralLeft.png,-1,left,0,0.4808,,,,,,,0,26,26,17,1,,,,,,,,,
,,2026-01-20_10h40.01.595,ant_ver113,2025.2.3,MacIntel,59.88023952,118852,,,,,336.8967,337.4455,0.55,337.4463,341.4451,left,1,,,,,,,,stim/centre.png,stim/incongLeft.png,-1,left,0,0.7001,,,,,,,0,27,27,21,1,,,,,,,,,
,,2026-01-20_10h40.01.595,ant_ver113,2025.2.3,MacIntel,59.88023952,118852,,,,,341.4455,342.5461,1.1,342.5469,346.5454,left,1,,,,,,,,stim/both.png,stim/congLeft.png,1,left,0,0.5653,,,,,,,0,28,28,34,1,,,,,,,,,
,,2026-01-20_10h40.01.595,ant_ver113,2025.2.3,MacIntel,59.88023952,118852,,,,,346.5459,346.9952,0.45,346.9957,350.9958,right,1,,,,,,,,stim/upper.png,stim/incongRight.png,1,right,0,0.4316,,,,,,,0,29,29,11,1,,,,,,,,,
,,2026-01-20_10h40.01.595,ant_ver113,2025.2.3,MacIntel,59.88023952,118852,,,,,350.9959,352.4453,1.45,352.446,356.4452,right,1,,,,,,,,stim/both.png,stim/congRight.png,1,right,0,0.4218,,,,,,,0,30,30,47,1,,,,,,,,,
,,2026-01-20_10h40.01.595,ant_ver113,2025.2.3,MacIntel,59.88023952,118852,,,,,356.4455,357.9454,1.5,357.9461,361.9451,left,1,,,,,,,,stim/centre.png,stim/congLeft.png,-1,left,0,0.4487,,,,,,,0,31,31,9,1,,,,,,,,,
,,2026-01-20_10h40.01.595,ant_ver113,2025.2.3,MacIntel,59.88023952,118852,,,,,361.9458,363.2952,1.35,363.296,367.2963,right,1,,,,,,,,stim/centre.png,stim/neutralRight.png,1,right,0,0.3818,,,,,,,0,32,32,29,1,,,,,,,,,
,,2026-01-20_10h40.01.595,ant_ver113,2025.2.3,MacIntel,59.88023952,118852,,,,,367.297,367.9963,0.7,367.9973,371.9964,left,0,,,,,,,,stim/both.png,stim/incongRight.png,-1,right,0,0.3058,,,,,,,0,33,33,3,1,,,,,,,,,
,,2026-01-20_10h40.01.595,ant_ver113,2025.2.3,MacIntel,59.88023952,118852,,,,,371.9972,373.0963,1.1,373.0972,377.0964,right,1,,,,,,,,stim/upper.png,stim/neutralRight.png,1,right,0,0.3161,,,,,,,0,34,34,27,1,,,,,,,,,
,,2026-01-20_10h40.01.595,ant_ver113,2025.2.3,MacIntel,59.88023952,118852,,,,,377.0971,378.2953,1.2,378.296,382.2953,right,1,,,,,,,,stim/both.png,stim/neutralRight.png,-1,right,0,0.4674,,,,,,,0,35,35,41,1,,,,,,,,,
,,2026-01-20_10h40.01.595,ant_ver113,2025.2.3,MacIntel,59.88023952,118852,,,,,382.2957,383.4464,1.15,383.4473,387.4462,left,1,,,,,,,,stim/centre.png,stim/neutralLeft.png,-1,left,0,0.4486,,,,,,,0,36,36,14,1,,,,,,,,,
,,2026-01-20_10h40.01.595,ant_ver113,2025.2.3,MacIntel,59.88023952,118852,,,,,387.4469,388.8458,1.4,388.8466,392.8463,left,1,,,,,,,,stim/both.png,stim/congLeft.png,-1,left,0,0.4541,,,,,,,0,37,37,5,1,,,,,,,,,
,,2026-01-20_10h40.01.595,ant_ver113,2025.2.3,MacIntel,59.88023952,118852,,,,,392.8469,393.4462,0.6,393.447,397.4454,right,0,,,,,,,,stim/upper.png,stim/incongLeft.png,1,left,0,0.2975,,,,,,,0,38,38,33,1,,,,,,,,,
,,2026-01-20_10h40.01.595,ant_ver113,2025.2.3,MacIntel,59.88023952,118852,,,,,397.4459,398.8454,1.4,398.8461,402.8458,left,1,,,,,,,,stim/lower.png,stim/congLeft.png,-1,left,0,0.3712,,,,,,,0,39,39,12,1,,,,,,,,,
,,2026-01-20_10h40.01.595,ant_ver113,2025.2.3,MacIntel,59.88023952,118852,,,,,402.8463,403.2454,0.4,403.2462,407.2465,left,1,,,,,,,,stim/blank.png,stim/neutralLeft.png,1,left,0,0.5275,,,,,,,0,40,40,42,1,,,,,,,,,
,,2026-01-20_10h40.01.595,ant_ver113,2025.2.3,MacIntel,59.88023952,118852,,,,,407.247,408.6963,1.45,408.6973,412.6963,left,1,,,,,,,,stim/blank.png,stim/congLeft.png,-1,left,0,0.4979,,,,,,,0,41,41,15,1,,,,,,,,,
,,2026-01-20_10h40.01.595,ant_ver113,2025.2.3,MacIntel,59.88023952,118852,,,,,412.697,413.4464,0.75,413.4473,417.4463,right,1,,,,,,,,stim/blank.png,stim/incongRight.png,1,right,0,0.5187,,,,,,,0,42,42,40,1,,,,,,,,,
,,2026-01-20_10h40.01.595,ant_ver113,2025.2.3,MacIntel,59.88023952,118852,,,,,417.447,418.7954,1.35,418.7962,422.7963,left,1,,,,,,,,stim/lower.png,stim/incongLeft.png,-1,left,0,0.0507,,,,,,,0,43,43,10,1,,,,,,,,,
