PreExperiment.started,PreExperiment.stopped,date,expName,psychopyVersion,OS,frameRate,PracInstruc.started,PracInstruc.stopped,PracInstruct2.started,PracInstruct2.stopped,fixation.started,fixation.stopped,fixDuration,trial.started,trial.stopped,resp.keys,resp.corr,resp.rt,resp.duration,feedback.started,feedback.stopped,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,pos_loc,corrAns,targOrientation,MainInstruc.started,MainInstruc.stopped,instResp.keys,instResp.rt,instResp.duration,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,Rest.started,Rest.stopped,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran,End.started,End.stopped
,,2026-03-19_14h57.06.162,ant_ver113,2025.2.3,MacIntel,120.4819277,,,,,1446.3707,1447.5705,1.2,1447.5712,1451.5707,right,1,0.592,,,,,,,,,stim/lower.png,stim/incongRight.png,-1,right,0,,,,,,0,41,41,19,1,,,,,,,,,
,,2026-03-19_14h57.06.162,ant_ver113,2025.2.3,MacIntel,120.4819277,,,,,1451.5713,1453.0202,1.45,1453.0206,1457.0203,right,1,0.3388,,,,,,,,,stim/blank.png,stim/neutralRight.png,1,right,0,,,,,,0,42,42,39,1,,,,,,,,,
,,2026-03-19_14h57.06.162,ant_ver113,2025.2.3,MacIntel,120.4819277,,,,,1457.0206,1457.5201,0.5,1457.5203,1461.5202,left,1,1.2823,,,,,,,,,stim/upper.png,stim/neutralLeft.png,1,left,0,,,,,,0,43,43,8,1,,,,,,,,,
,,2026-03-19_14h57.06.162,ant_ver113,2025.2.3,MacIntel,120.4819277,,,,,1461.5203,1462.2202,0.7,1462.2204,1466.2207,right,1,1.0801,,,,,,,,,stim/centre.png,stim/congRight.png,1,right,0,,,,,,0,44,44,2,1,,,,,,,,,
,,2026-03-19_14h57.06.162,ant_ver113,2025.2.3,MacIntel,120.4819277,,,,,1466.2212,1467.3695,1.15,1467.3699,1471.3707,right,1,0.6404,,,,,,,,,stim/centre.png,stim/neutralRight.png,1,right,0,,,,,,0,45,45,29,1,,,,,,,,,
,,2026-03-19_14h57.06.162,ant_ver113,2025.2.3,MacIntel,120.4819277,,,,,1471.3712,1472.8709,1.5,1472.8715,1476.8706,right,1,0.2823,,,,,,,,,stim/lower.png,stim/congRight.png,-1,right,0,,,,,,0,46,46,43,1,,,,,,,,,
,,2026-03-19_14h57.06.162,ant_ver113,2025.2.3,MacIntel,120.4819277,,,,,1476.8711,1478.1702,1.3,1478.1707,1482.1701,right,1,0.4806,,,,,,,,,stim/upper.png,stim/incongRight.png,1,right,0,,,,,,0,47,47,11,1,,,,,,,,,
,,2026-03-19_14h57.06.162,ant_ver113,2025.2.3,MacIntel,120.4819277,,,,,1482.1706,1483.2706,1.1,1483.2711,1487.2702,right,1,0.6823,,,,,,,,,stim/blank.png,stim/incongRight.png,1,right,0,,,,,,1,0,48,40,1,,,,,,,,,
,,2026-03-19_14h57.06.162,ant_ver113,2025.2.3,MacIntel,120.4819277,,,,,1487.2704,1488.1696,0.9,1488.1703,1492.1707,right,1,0.8921,,,,,,,,,stim/upper.png,stim/incongRight.png,1,right,0,,,,,,1,1,49,11,1,,,,,,,,,
,,2026-03-19_14h57.06.162,ant_ver113,2025.2.3,MacIntel,120.4819277,,,,,1492.1711,1492.7208,0.55,1492.7214,1496.7202,left,1,1.2321,,,,,,,,,stim/upper.png,stim/neutralLeft.png,1,left,0,,,,,,1,2,50,8,1,,,,,,,,,
,,2026-03-19_14h57.06.162,ant_ver113,2025.2.3,MacIntel,120.4819277,,,,,1496.7205,1497.8702,1.15,1497.8705,1501.8702,left,1,0.6385,,,,,,,,,stim/blank.png,stim/incongLeft.png,-1,left,0,,,,,,1,3,51,16,1,,,,,,,,,
,,2026-03-19_14h57.06.162,ant_ver113,2025.2.3,MacIntel,120.4819277,,,,,1501.8704,1503.1703,1.3,1503.1707,1507.1703,right,1,0.4903,,,,,,,,,stim/blank.png,stim/neutralRight.png,-1,right,0,,,,,,1,4,52,36,1,,,,,,,,,
,,2026-03-19_14h57.06.162,ant_ver113,2025.2.3,MacIntel,120.4819277,,,,,1507.1708,1508.5205,1.35,1508.5211,1512.5199,left,1,0.4294,,,,,,,,,stim/both.png,stim/neutralLeft.png,1,left,0,,,,,,1,5,53,31,1,,,,,,,,,
